"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name","TSNS.DESIGNATION","population","crime_rate"
"001",2025,"Auto Theft",485,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,145.645645645646
"001",2025,"Break and Enter",127,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,38.1381381381381
"001",2025,"Robbery",57,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,17.1171171171171
"001",2025,"Theft Over",88,"West Humber-Clairville","Not an NIA or Emerging Neighbourhood",33300,26.4264264264264
"002",2014,"Assault",239,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,76.2482054554155
"002",2014,"Auto Theft",61,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,19.4608390492902
"002",2014,"Break and Enter",25,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,7.97575370872547
"002",2014,"Robbery",76,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,24.2462912745254
"002",2014,"Theft Over",4,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,1.27612059339608
"002",2015,"Assault",245,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,78.1623863455096
"002",2015,"Auto Theft",58,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,18.5037486042431
"002",2015,"Break and Enter",37,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,11.8041154889137
"002",2015,"Robbery",107,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,34.136225873345
"002",2015,"Theft Over",6,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,1.91418089009411
"002",2016,"Assault",275,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,87.7332907959802
"002",2016,"Auto Theft",47,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,14.9944169724039
"002",2016,"Break and Enter",34,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,10.8470250438666
"002",2016,"Robbery",106,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area",31345,33.817195724996
