"HOOD_158","neighbourhood_name","TSNS.DESIGNATION"
"113","Weston","Neighbourhood Improvement Area"
"114","Lambton Baby Point","Not an NIA or Emerging Neighbourhood"
"115","Mount Dennis","Neighbourhood Improvement Area"
"116","Steeles","Emerging Neighbourhood"
"118","Tam O'Shanter-Sullivan","Not an NIA or Emerging Neighbourhood"
"119","Wexford/Maryvale","Not an NIA or Emerging Neighbourhood"
"120","Clairlea-Birchmount","Not an NIA or Emerging Neighbourhood"
"121","Oakridge","Neighbourhood Improvement Area"
"122","Birchcliffe-Cliffside","Not an NIA or Emerging Neighbourhood"
"123","Cliffcrest","Not an NIA or Emerging Neighbourhood"
"124","Kennedy Park","Neighbourhood Improvement Area"
"125","Ionview","Neighbourhood Improvement Area"
"126","Dorset Park","Emerging Neighbourhood"
"128","Agincourt South-Malvern West","Not an NIA or Emerging Neighbourhood"
"129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"130","Milliken","Not an NIA or Emerging Neighbourhood"
"133","Centennial Scarborough","Not an NIA or Emerging Neighbourhood"
"134","Highland Creek","Not an NIA or Emerging Neighbourhood"
"135","Morningside","Neighbourhood Improvement Area"
"136","West Hill","Neighbourhood Improvement Area"
"138","Eglinton East","Neighbourhood Improvement Area"
"139","Scarborough Village","Neighbourhood Improvement Area"
"140","Guildwood","Not an NIA or Emerging Neighbourhood"
"141","Golfdale-Cedarbrae-Woburn","Neighbourhood Improvement Area (formerly Woburn)"
"142","Woburn North","Neighbourhood Improvement Area (formerly Woburn)"
"143","West Rouge","Not an NIA or Emerging Neighbourhood"
"144","Morningside Heights","Not an NIA or Emerging Neighbourhood"
"145","Malvern West","Emerging Neighbourhood"
"146","Malvern East","Emerging Neighbourhood"
"147","L'Amoreaux West","Emerging Neighbourhood"
"148","East L'Amoreaux","Emerging Neighbourhood"
"149","Parkwoods-O'Connor Hills","Not an NIA or Emerging Neighbourhood"
"150","Fenside-Parkwoods","Not an NIA or Emerging Neighbourhood"
"151","Yonge-Doris","Not an NIA or Emerging Neighbourhood"
"152","East Willowdale","Not an NIA or Emerging Neighbourhood"
"153","Avondale","Not an NIA or Emerging Neighbourhood"
"154","Oakdale-Beverley Heights","Neighbourhood Improvement Area (formerly Downsview-Roding-CFB)"
"155","Downsview","Neighbourhood Improvement Area (formerly Downsview-Roding-CFB)"
"156","Bendale-Glen Andrew","Not an NIA or Emerging Neighbourhood"
"157","Bendale South","Not an NIA or Emerging Neighbourhood"
"158","Islington","Not an NIA or Emerging Neighbourhood"
"159","Etobicoke City Centre","Not an NIA or Emerging Neighbourhood"
"160","Mimico-Queensway","Not an NIA or Emerging Neighbourhood"
"161","Humber Bay Shores","Not an NIA or Emerging Neighbourhood"
"162","West Queen West","Not an NIA or Emerging Neighbourhood"
"163","Fort York-Liberty Village","Not an NIA or Emerging Neighbourhood"
"164","Wellington Place","Not an NIA or Emerging Neighbourhood"
"165","Harbourfront-CityPlace","Not an NIA or Emerging Neighbourhood"
"166","St Lawrence-East Bayfront-The Islands","Not an NIA or Emerging Neighbourhood"
"167","Church-Wellesley","Not an NIA or Emerging Neighbourhood"
"168","Downtown Yonge East","Not an NIA or Emerging Neighbourhood"
"169","Bay-Cloverhill","Not an NIA or Emerging Neighbourhood"
"170","Yonge-Bay Corridor","Not an NIA or Emerging Neighbourhood"
"171","Junction-Wallace Emerson","Not an NIA or Emerging Neighbourhood"
"172","Dovercourt Village","Not an NIA or Emerging Neighbourhood"
"173","North Toronto","Not an NIA or Emerging Neighbourhood"
"174","South Eglinton-Davisville","Not an NIA or Emerging Neighbourhood"
