"HOOD_158","neighbourhood_name","TSNS.DESIGNATION","population","income","unemployment","low_income","housing_cost"
"073","Moss Park","Not an NIA or Emerging Neighbourhood",21490,65000,14.6,23.3,4695
"074","North St. James Town","Not an NIA or Emerging Neighbourhood",18535,59200,17.5,21.9,3350
"078","Kensington-Chinatown","Not an NIA or Emerging Neighbourhood",18120,62000,17.7,23,3925
"079","University","Not an NIA or Emerging Neighbourhood",6435,80000,15.3,14.6,1145
"080","Palmerston-Little Italy","Not an NIA or Emerging Neighbourhood",13120,88000,11.2,10.9,2205
"081","Trinity-Bellwoods","Not an NIA or Emerging Neighbourhood",15415,92000,12.7,11,2280
"083","Dufferin Grove","Not an NIA or Emerging Neighbourhood",11215,78000,14.4,11.7,1880
"084","Little Portugal","Not an NIA or Emerging Neighbourhood",15485,86000,12.7,10.8,2930
"085","South Parkdale","Neighbourhood Improvement Area",20495,57200,17.3,20.2,4555
"086","Roncesvalles","Not an NIA or Emerging Neighbourhood",14610,88000,11.3,12.5,2030
"087","High Park-Swansea","Not an NIA or Emerging Neighbourhood",22665,101000,11.2,8.5,2970
"088","High Park North","Not an NIA or Emerging Neighbourhood",21855,83000,13.1,11.9,3850
"089","Runnymede-Bloor West Village","Not an NIA or Emerging Neighbourhood",10120,138000,9.8,5.1,745
"090","Junction Area","Not an NIA or Emerging Neighbourhood",14010,96000,12.8,8.8,1610
"091","Weston-Pelham Park","Neighbourhood Improvement Area",10680,81000,15.2,13.1,980
"092","Corso Italia-Davenport","Not an NIA or Emerging Neighbourhood",13200,94000,11.3,8.8,1285
"094","Wychwood","Not an NIA or Emerging Neighbourhood",12800,86000,12.5,11.2,1670
"095","Annex","Not an NIA or Emerging Neighbourhood",29300,85000,11.6,14.4,6335
"096","Casa Loma","Not an NIA or Emerging Neighbourhood",11350,103000,11,10.7,2190
"097","Yonge-St. Clair","Not an NIA or Emerging Neighbourhood",12905,94000,8.5,9.8,2650
"098","Rosedale-Moore Park","Not an NIA or Emerging Neighbourhood",20080,122000,9.4,8.8,3305
"099","Mount Pleasant East","Not an NIA or Emerging Neighbourhood",16370,110000,10.6,8.3,1880
"100","Yonge-Eglinton","Not an NIA or Emerging Neighbourhood",12410,94000,11.5,10.5,2070
"101","Forest Hill South","Not an NIA or Emerging Neighbourhood",10860,109000,8.9,9.8,1720
"102","Forest Hill North","Not an NIA or Emerging Neighbourhood",12290,90000,11.6,10.8,1655
"103","Lawrence Park South","Not an NIA or Emerging Neighbourhood",14960,162000,9.8,7.2,1405
"105","Lawrence Park North","Not an NIA or Emerging Neighbourhood",14675,168000,10.9,5.6,1140
"106","Humewood-Cedarvale","Not an NIA or Emerging Neighbourhood",13845,83000,10.8,11.2,2055
"107","Oakwood Village","Not an NIA or Emerging Neighbourhood",20710,77000,12.6,12,2525
"108","Briar Hill-Belgravia","Not an NIA or Emerging Neighbourhood",14575,81000,13.9,11.5,1690
"109","Caledonia-Fairbank","Not an NIA or Emerging Neighbourhood",10015,87000,12.9,10.6,970
"110","Keelesdale-Eglinton West","Neighbourhood Improvement Area",11390,77000,14.9,12.5,1215
"111","Rockcliffe-Smythe","Neighbourhood Improvement Area",22235,69000,14.2,15.8,2470
"112","Beechborough-Greenbrook","Neighbourhood Improvement Area",6260,62400,17.6,18,715
"113","Weston","Neighbourhood Improvement Area",18675,64500,17.4,18.6,2905
"114","Lambton Baby Point","Not an NIA or Emerging Neighbourhood",7965,103000,13.2,12,650
"115","Mount Dennis","Neighbourhood Improvement Area",13055,70500,18.7,14.9,1595
"116","Steeles","Emerging Neighbourhood",22765,80000,18.6,14.8,2725
"118","Tam O'Shanter-Sullivan","Not an NIA or Emerging Neighbourhood",27205,76500,15.6,14.4,3240
"119","Wexford/Maryvale","Not an NIA or Emerging Neighbourhood",28345,82000,16.1,11.6,3100
"120","Clairlea-Birchmount","Not an NIA or Emerging Neighbourhood",26840,90000,14.9,11.5,2605
"121","Oakridge","Neighbourhood Improvement Area",13705,60000,21.1,22.5,1475
"122","Birchcliffe-Cliffside","Not an NIA or Emerging Neighbourhood",22700,90000,14.9,9.7,2575
"123","Cliffcrest","Not an NIA or Emerging Neighbourhood",16130,92000,15.3,11.1,1480
"124","Kennedy Park","Neighbourhood Improvement Area",17110,69000,18.4,17,1730
"125","Ionview","Neighbourhood Improvement Area",13365,74500,16.4,13.8,1275
"126","Dorset Park","Emerging Neighbourhood",24305,79000,14.5,13,2680
"128","Agincourt South-Malvern West","Not an NIA or Emerging Neighbourhood",24170,79500,14.4,13,3010
"129","Agincourt North","Not an NIA or Emerging Neighbourhood",27540,84000,17.3,12.4,2615
"130","Milliken","Not an NIA or Emerging Neighbourhood",23980,81000,19,14.6,2400
"133","Centennial Scarborough","Not an NIA or Emerging Neighbourhood",13380,134000,11.6,4.4,690
"134","Highland Creek","Not an NIA or Emerging Neighbourhood",12625,120000,15,6.4,765
"135","Morningside","Neighbourhood Improvement Area",17660,85000,15.7,12.4,1585
"136","West Hill","Neighbourhood Improvement Area",28140,76000,16.9,15.2,2690
"138","Eglinton East","Neighbourhood Improvement Area",22535,73500,17.1,13.9,2490
"139","Scarborough Village","Neighbourhood Improvement Area",16520,71500,17.8,17.1,1775
"140","Guildwood","Not an NIA or Emerging Neighbourhood",9680,102000,13.5,5.8,945
"141","Golfdale-Cedarbrae-Woburn","Neighbourhood Improvement Area (formerly Woburn)",27085,77000,16.7,16,2310
"142","Woburn North","Neighbourhood Improvement Area (formerly Woburn)",26580,74500,16,15.5,2980
"143","West Rouge","Not an NIA or Emerging Neighbourhood",20670,108000,14.5,6.2,1450
"144","Morningside Heights","Not an NIA or Emerging Neighbourhood",24940,117000,15,5.7,1715
"145","Malvern West","Emerging Neighbourhood",17320,88000,17.5,9.7,1510
"146","Malvern East","Emerging Neighbourhood",26095,85000,16.2,11.7,2530
"147","L'Amoreaux West","Emerging Neighbourhood",21545,72500,15.8,15.8,2565
"148","East L'Amoreaux","Emerging Neighbourhood",21495,85000,17.9,13.5,2325
"149","Parkwoods-O'Connor Hills","Not an NIA or Emerging Neighbourhood",13965,98000,16.3,10.7,1545
"150","Fenside-Parkwoods","Not an NIA or Emerging Neighbourhood",20510,78000,15.7,13.2,2670
"151","Yonge-Doris","Not an NIA or Emerging Neighbourhood",20160,73000,12.8,22.5,4545
"152","East Willowdale","Not an NIA or Emerging Neighbourhood",15485,95000,13.5,16.9,2330
"153","Avondale","Not an NIA or Emerging Neighbourhood",13790,84000,11.4,18.6,3010
"154","Oakdale-Beverley Heights","Neighbourhood Improvement Area (formerly Downsview-Roding-CFB)",21420,71500,16.9,14.4,2125
"155","Downsview","Neighbourhood Improvement Area (formerly Downsview-Roding-CFB)",17970,82000,14.5,9.6,2090
"156","Bendale-Glen Andrew","Not an NIA or Emerging Neighbourhood",18685,74500,15,17,2425
"157","Bendale South","Not an NIA or Emerging Neighbourhood",10725,90000,15.4,9.7,905
"158","Islington","Not an NIA or Emerging Neighbourhood",23460,102000,13,8.5,2355
"159","Etobicoke City Centre","Not an NIA or Emerging Neighbourhood",23600,83000,11.1,13.6,4245
"160","Mimico-Queensway","Not an NIA or Emerging Neighbourhood",17045,84000,11.6,12.4,2260
"161","Humber Bay Shores","Not an NIA or Emerging Neighbourhood",22605,85000,12.4,13.5,5610
"162","West Queen West","Not an NIA or Emerging Neighbourhood",13170,101000,7.5,10.9,2460
"163","Fort York-Liberty Village","Not an NIA or Emerging Neighbourhood",19915,94000,8.6,10.3,4935
"164","Wellington Place","Not an NIA or Emerging Neighbourhood",25570,90000,7.8,14,7385
"165","Harbourfront-CityPlace","Not an NIA or Emerging Neighbourhood",28135,90000,10.3,14.4,6735
"166","St Lawrence-East Bayfront-The Islands","Not an NIA or Emerging Neighbourhood",31285,87000,10.8,15.3,6770
"167","Church-Wellesley","Not an NIA or Emerging Neighbourhood",22320,60400,15.6,23.3,7180
"168","Downtown Yonge East","Not an NIA or Emerging Neighbourhood",17700,69500,13.6,22.4,4865
"169","Bay-Cloverhill","Not an NIA or Emerging Neighbourhood",16670,58400,15,29,5920
"170","Yonge-Bay Corridor","Not an NIA or Emerging Neighbourhood",12645,68500,13.3,24.3,3745
"171","Junction-Wallace Emerson","Not an NIA or Emerging Neighbourhood",23180,84000,14,11.2,3205
"172","Dovercourt Village","Not an NIA or Emerging Neighbourhood",12380,87000,13.8,10,1685
"173","North Toronto","Not an NIA or Emerging Neighbourhood",15885,70000,13,18.5,4220
"174","South Eglinton-Davisville","Not an NIA or Emerging Neighbourhood",22735,80000,10.6,15.3,5420
