"year","s_theft","s_income","s_unemployment","s_low_income","s_housing"
2014,0.0474231731555989,0.192772981442792,0.471751675353686,0.348383129195921,0.257095072566969
2015,0.0450501207874898,0.192772981442792,0.471751675353686,0.348383129195921,0.257095072566969
2016,0.0449338977439261,0.192772981442792,0.471751675353686,0.348383129195921,0.257095072566969
2017,0.0492196635641735,0.192501236781894,0.472555264143874,0.349570643905206,0.258520463728213
2018,0.0651486625569707,0.192772981442792,0.471751675353686,0.348383129195921,0.257095072566969
2019,0.0717622686204071,0.192772981442792,0.471751675353686,0.348383129195921,0.257095072566969
2020,0.078579662436203,0.192772981442792,0.471751675353686,0.348383129195921,0.257095072566969
2021,0.0907412019591785,0.192772981442792,0.471751675353686,0.348383129195921,0.257095072566969
2022,0.136080690934782,0.192772981442792,0.471751675353686,0.348383129195921,0.257095072566969
2023,0.170261485882149,0.192772981442792,0.471751675353686,0.348383129195921,0.257095072566969
2024,0.128332376002455,0.192772981442792,0.471751675353686,0.348383129195921,0.257095072566969
2025,0.0954179083538916,0.192772981442792,0.471751675353686,0.348383129195921,0.257095072566969
