"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name","TSNS.DESIGNATION","population","crime_rate"
"004",2025,"Auto Theft",37,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,35.6626506024096
"004",2025,"Break and Enter",19,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,18.3132530120482
"004",2025,"Robbery",14,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,13.4939759036145
"004",2025,"Theft Over",7,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood",10375,6.74698795180723
"005",2020,"Assault",52,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,55.5852485301978
"005",2020,"Auto Theft",45,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,48.1026189203634
"005",2020,"Break and Enter",13,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,13.8963121325494
"005",2020,"Robbery",7,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,7.48262960983431
"005",2020,"Theft Over",2,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,2.13789417423838
"005",2021,"Assault",65,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,69.4815606627472
"005",2021,"Auto Theft",49,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,52.3784072688402
"005",2021,"Break and Enter",9,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,9.62052378407269
"005",2021,"Robbery",7,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,7.48262960983431
"005",2021,"Theft Over",3,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,3.20684126135756
"005",2022,"Assault",67,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,71.6194548369856
"005",2022,"Auto Theft",64,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,68.412613575628
"005",2022,"Break and Enter",9,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,9.62052378407269
"005",2022,"Robbery",15,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,16.0342063067878
"005",2023,"Assault",61,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,65.2057723142704
"005",2023,"Auto Theft",41,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,43.8268305718867
"005",2023,"Break and Enter",16,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,17.103153393907
"005",2023,"Robbery",14,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,14.9652592196686
"005",2023,"Theft Over",4,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,4.27578834847675
"005",2024,"Assault",82,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,87.6536611437734
"005",2024,"Auto Theft",50,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,53.4473543559594
"005",2024,"Break and Enter",11,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,11.7584179583111
"005",2024,"Robbery",21,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,22.4478888295029
"005",2024,"Theft Over",2,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,2.13789417423838
"005",2025,"Assault",71,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,75.8952431854623
"005",2025,"Auto Theft",49,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,52.3784072688402
"005",2025,"Break and Enter",16,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,17.103153393907
"005",2025,"Robbery",14,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,14.9652592196686
"005",2025,"Theft Over",4,"Elms-Old Rexdale","Neighbourhood Improvement Area",9355,4.27578834847675
"006",2020,"Assault",98,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,44.5353328788912
"006",2020,"Auto Theft",59,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,26.8120881617814
"006",2020,"Break and Enter",14,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,6.36219041127017
"006",2020,"Robbery",7,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,3.18109520563508
"006",2020,"Theft Over",6,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,2.7266530334015
"006",2021,"Assault",102,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,46.3531015678255
"006",2021,"Auto Theft",88,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,39.9909111565553
"006",2021,"Break and Enter",16,"Kingsview Village-The Westway","Neighbourhood Improvement Area",22005,7.27107475573733
