"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name","population","crime_rate","city_avg_rate","s_crime_rate"
"002",2014,"Auto Theft",61,"Mount Olive-Silverstone-Jamestown",31345,19.4608390492902,12.5725770449819,0.199168675337916
"002",2014,"Break and Enter",25,"Mount Olive-Silverstone-Jamestown",31345,7.97575370872547,26.6978755593416,0.0371340346226874
"002",2014,"Robbery",76,"Mount Olive-Silverstone-Jamestown",31345,24.2462912745254,13.5821805100475,0.290576144505196
"002",2014,"Theft Over",4,"Mount Olive-Silverstone-Jamestown",31345,1.27612059339608,3.65174026360149,0.0307532773925482
"002",2015,"Assault",245,"Mount Olive-Silverstone-Jamestown",31345,78.1623863455096,64.8993305496583,0.168371648199973
"002",2015,"Auto Theft",58,"Mount Olive-Silverstone-Jamestown",31345,18.5037486042431,11.9822217582044,0.217436904535407
"002",2015,"Break and Enter",37,"Mount Olive-Silverstone-Jamestown",31345,11.8041154889137,25.5038899189161,0.079881643175203
"002",2015,"Robbery",107,"Mount Olive-Silverstone-Jamestown",31345,34.136225873345,12.4561626193602,0.547306976647634
"002",2015,"Theft Over",6,"Mount Olive-Silverstone-Jamestown",31345,1.91418089009411,3.66782701415542,0.0705779553004199
"002",2016,"Assault",275,"Mount Olive-Silverstone-Jamestown",31345,87.7332907959802,67.1208846597699,0.211106109324476
"002",2016,"Auto Theft",47,"Mount Olive-Silverstone-Jamestown",31345,14.9944169724039,11.9533084105112,0.145786542824048
"002",2016,"Break and Enter",34,"Mount Olive-Silverstone-Jamestown",31345,10.8470250438666,23.5590159893207,0.0812000600808538
"002",2016,"Robbery",106,"Mount Olive-Silverstone-Jamestown",31345,33.817195724996,13.2661908051903,0.588676010018833
"002",2016,"Theft Over",3,"Mount Olive-Silverstone-Jamestown",31345,0.957090445047057,3.75877737435639,0.0218940798282036
"002",2017,"Assault",276,"Mount Olive-Silverstone-Jamestown",31345,88.0523209443293,69.4035720859218,0.159917777117403
"002",2017,"Auto Theft",51,"Mount Olive-Silverstone-Jamestown",31345,16.2705375658,13.0194983285573,0.157787542167537
"002",2017,"Break and Enter",35,"Mount Olive-Silverstone-Jamestown",31345,11.1660551922157,25.2878854736903,0.0643280637975549
"002",2017,"Robbery",69,"Mount Olive-Silverstone-Jamestown",31345,22.0130802360823,14.3548478472783,0.313532522385947
"002",2017,"Theft Over",1,"Mount Olive-Silverstone-Jamestown",31345,0.319030148349019,4.12216830498806,0
"002",2018,"Assault",255,"Mount Olive-Silverstone-Jamestown",31345,81.3526878289998,70.45244134518,0.163488005624153
"002",2018,"Auto Theft",76,"Mount Olive-Silverstone-Jamestown",31345,24.2462912745254,16.9822295749662,0.151721055358715
"002",2018,"Break and Enter",26,"Mount Olive-Silverstone-Jamestown",31345,8.29478385707449,27.5990772510942,0.0409040706036883
"002",2018,"Robbery",62,"Mount Olive-Silverstone-Jamestown",31345,19.7798691976392,13.2701503600022,0.237514495001734
"002",2018,"Theft Over",4,"Mount Olive-Silverstone-Jamestown",31345,1.27612059339608,4.47180131994928,0.0254752061661453
"002",2019,"Assault",273,"Mount Olive-Silverstone-Jamestown",31345,87.0952304992822,74.3439178949927,0.144733816849089
"002",2019,"Auto Theft",91,"Mount Olive-Silverstone-Jamestown",31345,29.0317434997607,18.6275271489613,0.18245482678795
"002",2019,"Break and Enter",35,"Mount Olive-Silverstone-Jamestown",31345,11.1660551922157,31.0331575818545,0.0394755325516515
"002",2019,"Robbery",59,"Mount Olive-Silverstone-Jamestown",31345,18.8227787525921,12.642311995235,0.278663779011258
"002",2019,"Theft Over",7,"Mount Olive-Silverstone-Jamestown",31345,2.23321103844313,4.91033294764247,0.036150013979334
"002",2020,"Assault",203,"Mount Olive-Silverstone-Jamestown",31345,64.7631201148508,64.6066532437307,0.15596891576982
"002",2020,"Auto Theft",84,"Mount Olive-Silverstone-Jamestown",31345,26.7985324613176,20.3235219509665,0.20075500594637
"002",2020,"Break and Enter",18,"Mount Olive-Silverstone-Jamestown",31345,5.74254267028234,25.6028576114286,0.0235255805631439
"002",2020,"Robbery",31,"Mount Olive-Silverstone-Jamestown",31345,9.88993459881959,9.79054142585102,0.14462302438247
"002",2020,"Theft Over",8,"Mount Olive-Silverstone-Jamestown",31345,2.55224118679215,4.32598074185994,0.0849702640211856
"002",2021,"Assault",222,"Mount Olive-Silverstone-Jamestown",31345,70.8246929334822,67.000711128936,0.180022736793807
"002",2021,"Auto Theft",74,"Mount Olive-Silverstone-Jamestown",31345,23.6082309778274,23.3490047634096,0.130165349015159
"002",2021,"Break and Enter",17,"Mount Olive-Silverstone-Jamestown",31345,5.42351252193332,20.432061457531,0.0194186899056363
"002",2021,"Robbery",48,"Mount Olive-Silverstone-Jamestown",31345,15.3134471207529,8.00060922030759,0.276438722645455
"002",2021,"Theft Over",3,"Mount Olive-Silverstone-Jamestown",31345,0.957090445047057,3.86280673690401,0.0253973663477899
"002",2022,"Assault",264,"Mount Olive-Silverstone-Jamestown",31345,84.223959164141,75.5027763886577,0.201805065528626
"002",2022,"Auto Theft",121,"Mount Olive-Silverstone-Jamestown",31345,38.6026479502313,34.6283205409473,0.148432078367681
"002",2022,"Break and Enter",25,"Mount Olive-Silverstone-Jamestown",31345,7.97575370872547,22.1324764378535,0.0365419898703282
"002",2022,"Robbery",53,"Mount Olive-Silverstone-Jamestown",31345,16.908597862498,10.1236637693902,0.378315084527032
"002",2022,"Theft Over",18,"Mount Olive-Silverstone-Jamestown",31345,5.74254267028234,5.07012294090382,0.135525145107817
"002",2023,"Assault",282,"Mount Olive-Silverstone-Jamestown",31345,89.9665018344234,86.6815187447212,0.16645398153853
"002",2023,"Auto Theft",152,"Mount Olive-Silverstone-Jamestown",31345,48.4925825490509,43.1316360491142,0.174693240945511
"002",2023,"Break and Enter",24,"Mount Olive-Silverstone-Jamestown",31345,7.65672356037646,28.2926805343177,0.0307342003014394
"002",2023,"Robbery",54,"Mount Olive-Silverstone-Jamestown",31345,17.227628010847,11.2130876852936,0.333036275984054
"002",2023,"Theft Over",13,"Mount Olive-Silverstone-Jamestown",31345,4.14739192853725,6.10925045926995,0.0894071903313583
"002",2024,"Assault",332,"Mount Olive-Silverstone-Jamestown",31345,105.918009251874,88.726117235917,0.183757828313425
"002",2024,"Auto Theft",84,"Mount Olive-Silverstone-Jamestown",31345,26.7985324613176,32.7007361583231,0.11287541214545
"002",2024,"Break and Enter",29,"Mount Olive-Silverstone-Jamestown",31345,9.25187430212155,25.2795511272439,0.0620431543646167
"002",2024,"Robbery",42,"Mount Olive-Silverstone-Jamestown",31345,13.3992662306588,11.3101442433483,0.209560789912193
"002",2024,"Theft Over",11,"Mount Olive-Silverstone-Jamestown",31345,3.50933163183921,6.42981597689917,0.0795111847787954
"002",2025,"Assault",245,"Mount Olive-Silverstone-Jamestown",31345,78.1623863455096,82.5823093970963,0.100661932280719
"002",2025,"Auto Theft",94,"Mount Olive-Silverstone-Jamestown",31345,29.9888339448078,24.5124507884229,0.192600768383516
"002",2025,"Break and Enter",19,"Mount Olive-Silverstone-Jamestown",31345,6.06157281863136,21.9516187363523,0.026104465074466
"002",2025,"Robbery",36,"Mount Olive-Silverstone-Jamestown",31345,11.4850853405647,8.84684607787153,0.281294383448034
