"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name","TSNS.DESIGNATION"
"002",2015,"Robbery",107,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2015,"Theft Over",6,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2016,"Assault",275,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2016,"Auto Theft",47,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2016,"Break and Enter",34,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2016,"Robbery",106,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2016,"Theft Over",3,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2017,"Assault",276,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2017,"Auto Theft",51,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2017,"Break and Enter",35,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2017,"Robbery",69,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2017,"Theft Over",1,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2018,"Assault",255,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2018,"Auto Theft",76,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2018,"Break and Enter",26,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2018,"Robbery",62,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2018,"Theft Over",4,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2019,"Assault",273,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2019,"Auto Theft",91,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2019,"Break and Enter",35,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2019,"Robbery",59,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2019,"Theft Over",7,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2020,"Assault",203,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2020,"Auto Theft",84,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2020,"Break and Enter",18,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2020,"Robbery",31,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2020,"Theft Over",8,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2021,"Assault",222,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2021,"Auto Theft",74,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2021,"Break and Enter",17,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2021,"Robbery",48,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2021,"Theft Over",3,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2022,"Assault",264,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2022,"Auto Theft",121,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2022,"Break and Enter",25,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2022,"Robbery",53,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2022,"Theft Over",18,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2023,"Assault",282,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2023,"Auto Theft",152,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2023,"Break and Enter",24,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2023,"Robbery",54,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2023,"Theft Over",13,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2024,"Assault",332,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2024,"Auto Theft",84,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2024,"Break and Enter",29,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2024,"Robbery",42,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2024,"Theft Over",11,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2025,"Assault",245,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2025,"Auto Theft",94,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2025,"Break and Enter",19,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2025,"Robbery",36,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"002",2025,"Theft Over",8,"Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"003",2014,"Assault",61,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2014,"Auto Theft",10,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2014,"Break and Enter",22,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2014,"Robbery",20,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2014,"Theft Over",1,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2015,"Assault",59,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2015,"Auto Theft",16,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2015,"Break and Enter",23,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2015,"Robbery",24,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2015,"Theft Over",3,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2016,"Assault",48,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2016,"Auto Theft",16,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2016,"Break and Enter",23,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2016,"Robbery",16,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2016,"Theft Over",1,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2017,"Assault",61,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2017,"Auto Theft",23,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2017,"Break and Enter",17,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2017,"Robbery",24,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2017,"Theft Over",5,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2018,"Assault",53,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2018,"Auto Theft",44,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2018,"Break and Enter",16,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2018,"Robbery",11,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2018,"Theft Over",1,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2019,"Assault",74,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2019,"Auto Theft",51,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2019,"Break and Enter",14,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2019,"Robbery",10,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2019,"Theft Over",5,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2020,"Assault",59,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2020,"Auto Theft",43,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2020,"Break and Enter",11,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2020,"Robbery",9,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2020,"Theft Over",4,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2021,"Assault",58,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2021,"Auto Theft",43,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2021,"Break and Enter",8,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2021,"Robbery",6,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2021,"Theft Over",3,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2022,"Assault",59,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2022,"Auto Theft",57,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2022,"Break and Enter",17,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2022,"Robbery",16,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2022,"Theft Over",1,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2023,"Assault",63,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2023,"Auto Theft",52,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2023,"Break and Enter",23,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2023,"Robbery",12,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2023,"Theft Over",14,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2024,"Assault",74,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2024,"Auto Theft",36,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2024,"Break and Enter",23,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2024,"Robbery",9,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2024,"Theft Over",3,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2025,"Assault",58,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2025,"Auto Theft",35,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2025,"Break and Enter",11,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2025,"Robbery",17,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"003",2025,"Theft Over",4,"Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"004",2014,"Assault",53,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2014,"Auto Theft",13,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2014,"Break and Enter",17,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2014,"Robbery",14,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2014,"Theft Over",1,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2015,"Assault",59,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"004",2015,"Auto Theft",12,"Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
